web_scraper_order,web_scraper_start_url,annee marque et model,prix,kilometrage,boite de vitesse,region vente
"1786443252-152","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Renault Scenic","1 950 000","160 000 km","Manuelle","Dakar"
"1786443252-153","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Citroen Nemo","2 400 000","160 000 km","Manuelle","Dakar"
"1786443252-154","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Peugeot 407","2 300 000","291 000 km","Manuelle","Dakar"
"1786443252-155","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Nissan Versa","2 500 000","120 000 km","Automatique","Dakar"
"1786443252-156","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Renault Scenic","1 500 000","180 000 km","Manuelle","Dakar"
"1786443252-157","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Renault Megane","1 800 000","160 000 km","Manuelle","Dakar"
"1786443252-158","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 407","2 600 000","180 000 km","Manuelle","Dakar"
"1786443252-159","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Mercedes‒Benz 190","2 400 000","160 000 km","Manuelle","Dakar"
"1786443252-160","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Renault Kangoo","4 500 000","264 127 km","Manuelle","Dakar"
"1786443252-161","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Hyundai Accent","1 700 000","","Manuelle","Dakar"
"1786443252-162","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Dacia Logan","3 000 000","160 000 km","Manuelle","Dakar"
"1786443252-163","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Renault Laguna","1 400 000","180 000 km","Manuelle","Dakar"
"1786443252-164","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Peugeot 3008","6 500 000","","Manuelle","Dakar"
"1786443252-165","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-166","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C3","2 000 000","200 000 km","Manuelle","Dakar"
"1786443252-167","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Citroen C4","2 200 000","289 983 km","Manuelle","Dakar"
